Measure Name,Year,Period,Value
Employment Rate (Toronto Residents),2015,Feb,0.583
Employment Rate (Toronto Residents),2015,Mar,0.5882
Employment Rate (Toronto Residents),2015,Apr,0.5941
Employment Rate (Toronto Residents),2015,May,0.6035
Employment Rate (Toronto Residents),2015,Jun,0.6091
Employment Rate (Toronto Residents),2015,Jul,0.6138
Employment Rate (Toronto Residents),2015,Aug,0.6124
Employment Rate (Toronto Residents),2015,Sep,0.6061
Employment Rate (Toronto Residents),2015,Oct,0.5981
Employment Rate (Toronto Residents),2015,Nov,0.5913
Employment Rate (Toronto Residents),2015,Dec,0.5884
Employment Rate (Toronto Residents),2016,Jan,0.5828
Employment Rate (Toronto Residents),2016,Feb,0.5813
Employment Rate (Toronto Residents),2016,Mar,0.5811
Employment Rate (Toronto Residents),2016,Apr,0.5869
Employment Rate (Toronto Residents),2016,May,0.5896
Employment Rate (Toronto Residents),2016,Jun,0.5956
Employment Rate (Toronto Residents),2016,Jul,0.5985
Employment Rate (Toronto Residents),2016,Aug,0.6023
Employment Rate (Toronto Residents),2016,Sep,0.6014
Employment Rate (Toronto Residents),2016,Oct,0.5987
Employment Rate (Toronto Residents),2016,Nov,0.5967
Employment Rate (Toronto Residents),2016,Dec,0.5952
Employment Rate (Toronto Residents),2017,Jan,0.5942
Employment Rate (Toronto Residents),2017,Feb,0.5926
Employment Rate (Toronto Residents),2017,Mar,0.5943
Employment Rate (Toronto Residents),2017,Apr,0.5998
Employment Rate (Toronto Residents),2017,May,0.6046
Employment Rate (Toronto Residents),2017,Jun,0.6074
Employment Rate (Toronto Residents),2017,Jul,0.6072
Employment Rate (Toronto Residents),2017,Aug,0.6069
Employment Rate (Toronto Residents),2017,Sep,0.6047
Employment Rate (Toronto Residents),2017,Oct,0.6042
Employment Rate (Toronto Residents),2017,Nov,0.6084
Employment Rate (Toronto Residents),2017,Dec,0.6101
Employment Rate (Toronto Residents),2018,Jan,0.6085
Employment Rate (Toronto Residents),2018,Feb,0.604
Employment Rate (Toronto Residents),2018,Mar,0.6019
Employment Rate (Toronto Residents),2018,Apr,0.6017
Employment Rate (Toronto Residents),2018,May,0.6008
Employment Rate (Toronto Residents),2018,Jun,0.6029
Employment Rate (Toronto Residents),2018,Jul,0.6077
Employment Rate (Toronto Residents),2018,Aug,0.6079
Employment Rate (Toronto Residents),2018,Sep,0.6008
Employment Rate (Toronto Residents),2018,Oct,0.5929
Employment Rate (Toronto Residents),2018,Nov,0.5882
Employment Rate (Toronto Residents),2018,Dec,0.5859
Employment Rate (Toronto Residents),2019,Jan,0.5776
Employment Rate (Toronto Residents),2019,Feb,0.5777
Employment Rate (Toronto Residents),2019,Mar,0.5827
Employment Rate (Toronto Residents),2019,Apr,0.598
Employment Rate (Toronto Residents),2019,May,0.6105
Employment Rate (Toronto Residents),2019,Jun,0.6188
Employment Rate (Toronto Residents),2019,Jul,0.6229
Employment Rate (Toronto Residents),2019,Aug,0.619
Employment Rate (Toronto Residents),2019,Sep,0.6163
Employment Rate (Toronto Residents),2019,Oct,0.6069
Employment Rate (Toronto Residents),2019,Nov,0.6011
Employment Rate (Toronto Residents),2019,Dec,0.5949
Employment Rate (Toronto Residents),2020,Jan,0.5941
Employment Rate (Toronto Residents),2020,Feb,0.5947
Employment Rate (Toronto Residents),2020,Mar,0.5842
Employment Rate (Toronto Residents),2020,Apr,0.5632
Employment Rate (Toronto Residents),2020,May,0.538
Employment Rate (Toronto Residents),2020,Jun,0.5359
Employment Rate (Toronto Residents),2020,Jul,0.5428
Employment Rate (Toronto Residents),2020,Aug,0.5545
Employment Rate (Toronto Residents),2020,Sep,0.5635
Employment Rate (Toronto Residents),2020,Oct,0.5756
Employment Rate (Toronto Residents),2020,Nov,0.5826
Employment Rate (Toronto Residents),2020,Dec,0.5806
Employment Rate (Toronto Residents),2021,Jan,0.5739
Employment Rate (Toronto Residents),2021,Feb,0.5665
Employment Rate (Toronto Residents),2021,Mar,0.5636
Employment Rate (Toronto Residents),2021,Apr,0.5702
Employment Rate (Toronto Residents),2021,May,0.5779
Employment Rate (Toronto Residents),2021,Jun,0.5841
Employment Rate (Toronto Residents),2021,Jul,0.5891
Employment Rate (Toronto Residents),2021,Aug,0.601
Employment Rate (Toronto Residents),2021,Sep,0.6084
Unemployment Rate (Toronto Residents),2007,Jan,0.0772
Unemployment Rate (Toronto Residents),2007,Feb,0.0751
Unemployment Rate (Toronto Residents),2007,Mar,0.0801
Unemployment Rate (Toronto Residents),2007,Apr,0.082
Unemployment Rate (Toronto Residents),2007,May,0.0813
Unemployment Rate (Toronto Residents),2007,Jun,0.0789
Unemployment Rate (Toronto Residents),2007,Jul,0.0795
Unemployment Rate (Toronto Residents),2007,Aug,0.079
Unemployment Rate (Toronto Residents),2007,Sep,0.078
Unemployment Rate (Toronto Residents),2007,Oct,0.0771
Unemployment Rate (Toronto Residents),2007,Nov,0.0788
Unemployment Rate (Toronto Residents),2007,Dec,0.0797
Unemployment Rate (Toronto Residents),2008,Jan,0.0785
Unemployment Rate (Toronto Residents),2008,Feb,0.0742
Unemployment Rate (Toronto Residents),2008,Mar,0.0728
Unemployment Rate (Toronto Residents),2008,Apr,0.0695
Unemployment Rate (Toronto Residents),2008,May,0.0703
Unemployment Rate (Toronto Residents),2008,Jun,0.0706
Unemployment Rate (Toronto Residents),2008,Jul,0.0745
Unemployment Rate (Toronto Residents),2008,Aug,0.0764
Unemployment Rate (Toronto Residents),2008,Sep,0.0775
Unemployment Rate (Toronto Residents),2008,Oct,0.0793
Unemployment Rate (Toronto Residents),2008,Nov,0.081
Unemployment Rate (Toronto Residents),2008,Dec,0.0822
Unemployment Rate (Toronto Residents),2009,Jan,0.0849
Unemployment Rate (Toronto Residents),2009,Feb,0.0888
Unemployment Rate (Toronto Residents),2009,Mar,0.0937
Unemployment Rate (Toronto Residents),2009,Apr,0.0939
Unemployment Rate (Toronto Residents),2009,May,0.0974
Unemployment Rate (Toronto Residents),2009,Jun,0.1014
Unemployment Rate (Toronto Residents),2009,Jul,0.1081
Unemployment Rate (Toronto Residents),2009,Aug,0.1093
Unemployment Rate (Toronto Residents),2009,Sep,0.1064
Unemployment Rate (Toronto Residents),2009,Oct,0.1025
Unemployment Rate (Toronto Residents),2009,Nov,0.1028
Unemployment Rate (Toronto Residents),2009,Dec,0.1017
Unemployment Rate (Toronto Residents),2010,Jan,0.1012
Unemployment Rate (Toronto Residents),2010,Feb,0.0981
Unemployment Rate (Toronto Residents),2010,Mar,0.099
Unemployment Rate (Toronto Residents),2010,Apr,0.1011
Unemployment Rate (Toronto Residents),2010,May,0.1034
Unemployment Rate (Toronto Residents),2010,Jun,0.104
Unemployment Rate (Toronto Residents),2010,Jul,0.0991
Unemployment Rate (Toronto Residents),2010,Aug,0.1004
Unemployment Rate (Toronto Residents),2010,Sep,0.102
Unemployment Rate (Toronto Residents),2010,Oct,0.105
Unemployment Rate (Toronto Residents),2010,Nov,0.1024
Unemployment Rate (Toronto Residents),2010,Dec,0.1003
Unemployment Rate (Toronto Residents),2011,Jan,0.0992
Unemployment Rate (Toronto Residents),2011,Feb,0.0942
Unemployment Rate (Toronto Residents),2011,Mar,0.0934
Unemployment Rate (Toronto Residents),2011,Apr,0.0929
Unemployment Rate (Toronto Residents),2011,May,0.0964
Unemployment Rate (Toronto Residents),2011,Jun,0.0946
Unemployment Rate (Toronto Residents),2011,Jul,0.0933
Unemployment Rate (Toronto Residents),2011,Aug,0.0905
Unemployment Rate (Toronto Residents),2011,Sep,0.0897
Unemployment Rate (Toronto Residents),2011,Oct,0.0894
Unemployment Rate (Toronto Residents),2011,Nov,0.0905
Unemployment Rate (Toronto Residents),2011,Dec,0.0903
Unemployment Rate (Toronto Residents),2012,Jan,0.096
Unemployment Rate (Toronto Residents),2012,Feb,0.0943
Unemployment Rate (Toronto Residents),2012,Mar,0.0968
Unemployment Rate (Toronto Residents),2012,Apr,0.0957
Unemployment Rate (Toronto Residents),2012,May,0.1002
Unemployment Rate (Toronto Residents),2012,Jun,0.1003
Unemployment Rate (Toronto Residents),2012,Jul,0.0995
Unemployment Rate (Toronto Residents),2012,Aug,0.0987
Unemployment Rate (Toronto Residents),2012,Sep,0.0979
Unemployment Rate (Toronto Residents),2012,Oct,0.0977
Unemployment Rate (Toronto Residents),2012,Nov,0.0963
Unemployment Rate (Toronto Residents),2012,Dec,0.0965
Unemployment Rate (Toronto Residents),2013,Jan,0.0946
Unemployment Rate (Toronto Residents),2013,Feb,0.0933
Unemployment Rate (Toronto Residents),2013,Mar,0.0907
Unemployment Rate (Toronto Residents),2013,Apr,0.0893
Unemployment Rate (Toronto Residents),2013,May,0.0863
Unemployment Rate (Toronto Residents),2013,Jun,0.0856
Unemployment Rate (Toronto Residents),2013,Jul,0.0832
Unemployment Rate (Toronto Residents),2013,Aug,0.081
Unemployment Rate (Toronto Residents),2013,Sep,0.0821
Unemployment Rate (Toronto Residents),2013,Oct,0.0858
Unemployment Rate (Toronto Residents),2013,Nov,0.0923
Unemployment Rate (Toronto Residents),2013,Dec,0.0959
Unemployment Rate (Toronto Residents),2014,Jan,0.0975
Unemployment Rate (Toronto Residents),2014,Feb,0.099
Unemployment Rate (Toronto Residents),2014,Mar,0.0967
Unemployment Rate (Toronto Residents),2014,Apr,0.0949
Unemployment Rate (Toronto Residents),2014,May,0.0926
Unemployment Rate (Toronto Residents),2014,Jun,0.0954
Unemployment Rate (Toronto Residents),2014,Jul,0.1006
Unemployment Rate (Toronto Residents),2014,Aug,0.1039
Unemployment Rate (Toronto Residents),2014,Sep,0.1014
Unemployment Rate (Toronto Residents),2014,Oct,0.0949
Unemployment Rate (Toronto Residents),2014,Nov,0.0898
Unemployment Rate (Toronto Residents),2014,Dec,0.0853
Unemployment Rate (Toronto Residents),2015,Jan,0.08
Unemployment Rate (Toronto Residents),2015,Feb,0.0781
Unemployment Rate (Toronto Residents),2015,Mar,0.0769
Unemployment Rate (Toronto Residents),2015,Apr,0.0771
Unemployment Rate (Toronto Residents),2015,May,0.0745
Unemployment Rate (Toronto Residents),2015,Jun,0.0731
Unemployment Rate (Toronto Residents),2015,Jul,0.072
Unemployment Rate (Toronto Residents),2015,Aug,0.0723
Unemployment Rate (Toronto Residents),2015,Sep,0.0742
Unemployment Rate (Toronto Residents),2015,Oct,0.0756
Unemployment Rate (Toronto Residents),2015,Nov,0.0795
Unemployment Rate (Toronto Residents),2015,Dec,0.0834
Unemployment Rate (Toronto Residents),2016,Jan,0.0877
Unemployment Rate (Toronto Residents),2016,Feb,0.0877
Unemployment Rate (Toronto Residents),2016,Mar,0.0856
Unemployment Rate (Toronto Residents),2016,Apr,0.0829
Unemployment Rate (Toronto Residents),2016,May,0.0807
Unemployment Rate (Toronto Residents),2016,Jun,0.0723
Unemployment Rate (Toronto Residents),2016,Jul,0.07
Unemployment Rate (Toronto Residents),2016,Aug,0.0691
Unemployment Rate (Toronto Residents),2016,Sep,0.074
Unemployment Rate (Toronto Residents),2016,Oct,0.0747
Unemployment Rate (Toronto Residents),2016,Nov,0.0746
Unemployment Rate (Toronto Residents),2016,Dec,0.0747
Unemployment Rate (Toronto Residents),2017,Jan,0.0754
Unemployment Rate (Toronto Residents),2017,Feb,0.0766
Unemployment Rate (Toronto Residents),2017,Mar,0.0792
Unemployment Rate (Toronto Residents),2017,Apr,0.0778
Unemployment Rate (Toronto Residents),2017,May,0.0754
Unemployment Rate (Toronto Residents),2017,Jun,0.0717
Unemployment Rate (Toronto Residents),2017,Jul,0.0705
Unemployment Rate (Toronto Residents),2017,Aug,0.0685
Unemployment Rate (Toronto Residents),2017,Sep,0.0684
Unemployment Rate (Toronto Residents),2017,Oct,0.0698
Unemployment Rate (Toronto Residents),2017,Nov,0.0706
Unemployment Rate (Toronto Residents),2017,Dec,0.0723
Unemployment Rate (Toronto Residents),2018,Jan,0.0713
Unemployment Rate (Toronto Residents),2018,Feb,0.0698
Unemployment Rate (Toronto Residents),2018,Mar,0.0687
Unemployment Rate (Toronto Residents),2018,Apr,0.0699
Unemployment Rate (Toronto Residents),2018,May,0.0702
Unemployment Rate (Toronto Residents),2018,Jun,0.0685
Unemployment Rate (Toronto Residents),2018,Jul,0.0637
Unemployment Rate (Toronto Residents),2018,Aug,0.0595
Unemployment Rate (Toronto Residents),2018,Sep,0.0592
Unemployment Rate (Toronto Residents),2018,Oct,0.0614
Unemployment Rate (Toronto Residents),2018,Nov,0.0646
Unemployment Rate (Toronto Residents),2018,Dec,0.063
Unemployment Rate (Toronto Residents),2019,Jan,0.0659
Unemployment Rate (Toronto Residents),2019,Feb,0.0679
Unemployment Rate (Toronto Residents),2019,Mar,0.0734
Unemployment Rate (Toronto Residents),2019,Apr,0.0714
Unemployment Rate (Toronto Residents),2019,May,0.0654
Unemployment Rate (Toronto Residents),2019,Jun,0.0587
Unemployment Rate (Toronto Residents),2019,Jul,0.056
Unemployment Rate (Toronto Residents),2019,Aug,0.0623
Unemployment Rate (Toronto Residents),2019,Sep,0.0662
Unemployment Rate (Toronto Residents),2019,Oct,0.068
Unemployment Rate (Toronto Residents),2019,Nov,0.0683
Unemployment Rate (Toronto Residents),2019,Dec,0.0697
Unemployment Rate (Toronto Residents),2020,Jan,0.07
Unemployment Rate (Toronto Residents),2020,Feb,0.0666
Unemployment Rate (Toronto Residents),2020,Mar,0.0711
Unemployment Rate (Toronto Residents),2020,Apr,0.0846
Unemployment Rate (Toronto Residents),2020,May,0.1091
Unemployment Rate (Toronto Residents),2020,Jun,0.1257
Unemployment Rate (Toronto Residents),2020,Jul,0.1357
Unemployment Rate (Toronto Residents),2020,Aug,0.1393
Unemployment Rate (Toronto Residents),2020,Sep,0.1301
Unemployment Rate (Toronto Residents),2020,Oct,0.12
Unemployment Rate (Toronto Residents),2020,Nov,0.1102
Unemployment Rate (Toronto Residents),2020,Dec,0.1114
Unemployment Rate (Toronto Residents),2021,Jan,0.1135
Unemployment Rate (Toronto Residents),2021,Feb,0.1119
Unemployment Rate (Toronto Residents),2021,Mar,0.1053
Unemployment Rate (Toronto Residents),2021,Apr,0.099
Unemployment Rate (Toronto Residents),2021,May,0.0967
Unemployment Rate (Toronto Residents),2021,Jun,0.0978
Unemployment Rate (Toronto Residents),2021,Jul,0.0974
Unemployment Rate (Toronto Residents),2021,Aug,0.0906
Unemployment Rate (Toronto Residents),2021,Sep,0.0866
Employed City of Toronto Residents (000's),2007,Jan,1358.8
Employed City of Toronto Residents (000's),2007,Feb,1363.1
Employed City of Toronto Residents (000's),2007,Mar,1357.8
Employed City of Toronto Residents (000's),2007,Apr,1341.8
Employed City of Toronto Residents (000's),2007,May,1332.7
Employed City of Toronto Residents (000's),2007,Jun,1329.1
Employed City of Toronto Residents (000's),2007,Jul,1322.9
Employed City of Toronto Residents (000's),2007,Aug,1319.2
Employed City of Toronto Residents (000's),2007,Sep,1311
Employed City of Toronto Residents (000's),2007,Oct,1312.9
Employed City of Toronto Residents (000's),2007,Nov,1321.8
Employed City of Toronto Residents (000's),2007,Dec,1335.6
Employed City of Toronto Residents (000's),2008,Jan,1350.1
Employed City of Toronto Residents (000's),2008,Feb,1362.9
Employed City of Toronto Residents (000's),2008,Mar,1379.9
Employed City of Toronto Residents (000's),2008,Apr,1403.4
Employed City of Toronto Residents (000's),2008,May,1417.2
Employed City of Toronto Residents (000's),2008,Jun,1421.8
Employed City of Toronto Residents (000's),2008,Jul,1413.6
Employed City of Toronto Residents (000's),2008,Aug,1406.4
Employed City of Toronto Residents (000's),2008,Sep,1410.3
Employed City of Toronto Residents (000's),2008,Oct,1418.8
Employed City of Toronto Residents (000's),2008,Nov,1423
Employed City of Toronto Residents (000's),2008,Dec,1435
Employed City of Toronto Residents (000's),2009,Jan,1433.3
Employed City of Toronto Residents (000's),2009,Feb,1437.5
Employed City of Toronto Residents (000's),2009,Mar,1423.4
Employed City of Toronto Residents (000's),2009,Apr,1421.5
Employed City of Toronto Residents (000's),2009,May,1416.9
Employed City of Toronto Residents (000's),2009,Jun,1407.7
Employed City of Toronto Residents (000's),2009,Jul,1402.7
Employed City of Toronto Residents (000's),2009,Aug,1395.5
Employed City of Toronto Residents (000's),2009,Sep,1403.5
Employed City of Toronto Residents (000's),2009,Oct,1401.3
Employed City of Toronto Residents (000's),2009,Nov,1402.1
Employed City of Toronto Residents (000's),2009,Dec,1394.4
Employed City of Toronto Residents (000's),2010,Jan,1388.5
Employed City of Toronto Residents (000's),2010,Feb,1380.5
Employed City of Toronto Residents (000's),2010,Mar,1373.3
Employed City of Toronto Residents (000's),2010,Apr,1363.4
Employed City of Toronto Residents (000's),2010,May,1355.6
Employed City of Toronto Residents (000's),2010,Jun,1350.5
Employed City of Toronto Residents (000's),2010,Jul,1360.8
Employed City of Toronto Residents (000's),2010,Aug,1381
Employed City of Toronto Residents (000's),2010,Sep,1390.6
Employed City of Toronto Residents (000's),2010,Oct,1395.4
Employed City of Toronto Residents (000's),2010,Nov,1379.7
Employed City of Toronto Residents (000's),2010,Dec,1391.7
Employed City of Toronto Residents (000's),2011,Jan,1413.7
Employed City of Toronto Residents (000's),2011,Feb,1436.8
Employed City of Toronto Residents (000's),2011,Mar,1444.1
Employed City of Toronto Residents (000's),2011,Apr,1438
Employed City of Toronto Residents (000's),2011,May,1441.3
Employed City of Toronto Residents (000's),2011,Jun,1447.5
Employed City of Toronto Residents (000's),2011,Jul,1448
Employed City of Toronto Residents (000's),2011,Aug,1453.4
Employed City of Toronto Residents (000's),2011,Sep,1448.2
Employed City of Toronto Residents (000's),2011,Oct,1448.2
Employed City of Toronto Residents (000's),2011,Nov,1445.3
Employed City of Toronto Residents (000's),2011,Dec,1444.8
Employed City of Toronto Residents (000's),2012,Jan,1441.9
Employed City of Toronto Residents (000's),2012,Feb,1434.2
Employed City of Toronto Residents (000's),2012,Mar,1429.5
Employed City of Toronto Residents (000's),2012,Apr,1420.6
Employed City of Toronto Residents (000's),2012,May,1432.3
Employed City of Toronto Residents (000's),2012,Jun,1454.4
Employed City of Toronto Residents (000's),2012,Jul,1485
Employed City of Toronto Residents (000's),2012,Aug,1502.4
Employed City of Toronto Residents (000's),2012,Sep,1514
Employed City of Toronto Residents (000's),2012,Oct,1529.1
Employed City of Toronto Residents (000's),2012,Nov,1536.9
Employed City of Toronto Residents (000's),2012,Dec,1538.3
Employed City of Toronto Residents (000's),2013,Jan,1542.7
Employed City of Toronto Residents (000's),2013,Feb,1554.3
Employed City of Toronto Residents (000's),2013,Mar,1573.2
Employed City of Toronto Residents (000's),2013,Apr,1576.4
Employed City of Toronto Residents (000's),2013,May,1574.9
Employed City of Toronto Residents (000's),2013,Jun,1575
Employed City of Toronto Residents (000's),2013,Jul,1578.6
Employed City of Toronto Residents (000's),2013,Aug,1585.9
Employed City of Toronto Residents (000's),2013,Sep,1592.4
Employed City of Toronto Residents (000's),2013,Oct,1584.3
Employed City of Toronto Residents (000's),2013,Nov,1576.1
Employed City of Toronto Residents (000's),2013,Dec,1551.2
Employed City of Toronto Residents (000's),2014,Jan,1540.1
Employed City of Toronto Residents (000's),2014,Feb,1525.9
Employed City of Toronto Residents (000's),2014,Mar,1525.2
Employed City of Toronto Residents (000's),2014,Apr,1534.3
Employed City of Toronto Residents (000's),2014,May,1540.3
Employed City of Toronto Residents (000's),2014,Jun,1539.1
Employed City of Toronto Residents (000's),2014,Jul,1535.1
Employed City of Toronto Residents (000's),2014,Aug,1532.8
Employed City of Toronto Residents (000's),2014,Sep,1538.4
Employed City of Toronto Residents (000's),2014,Oct,1535
Employed City of Toronto Residents (000's),2014,Nov,1534.9
Employed City of Toronto Residents (000's),2014,Dec,1532.2
Employed City of Toronto Residents (000's),2015,Jan,1523.6
Employed City of Toronto Residents (000's),2015,Feb,1492.1
Employed City of Toronto Residents (000's),2015,Mar,1459.5
Employed City of Toronto Residents (000's),2015,Apr,1443.2
Employed City of Toronto Residents (000's),2015,May,1447.4
Employed City of Toronto Residents (000's),2015,Jun,1443.8
Employed City of Toronto Residents (000's),2015,Jul,1444
Employed City of Toronto Residents (000's),2015,Aug,1430.6
Employed City of Toronto Residents (000's),2015,Sep,1412.5
Employed City of Toronto Residents (000's),2015,Oct,1387.1
Employed City of Toronto Residents (000's),2015,Nov,1367.7
Employed City of Toronto Residents (000's),2015,Dec,1358.7
Employed City of Toronto Residents (000's),2016,Jan,1357.2
Employed City of Toronto Residents (000's),2016,Feb,1366.3
Employed City of Toronto Residents (000's),2016,Mar,1376.1
Employed City of Toronto Residents (000's),2016,Apr,1386.1
Employed City of Toronto Residents (000's),2016,May,1395.3
Employed City of Toronto Residents (000's),2016,Jun,1401.4
Employed City of Toronto Residents (000's),2016,Jul,1395.6
Employed City of Toronto Residents (000's),2016,Aug,1390
Employed City of Toronto Residents (000's),2016,Sep,1393.7
Employed City of Toronto Residents (000's),2016,Oct,1401.3
Employed City of Toronto Residents (000's),2016,Nov,1404.4
Employed City of Toronto Residents (000's),2016,Dec,1408.4
Employed City of Toronto Residents (000's),2017,Jan,1406.9
Employed City of Toronto Residents (000's),2017,Feb,1403.3
Employed City of Toronto Residents (000's),2017,Mar,1396.7
Employed City of Toronto Residents (000's),2017,Apr,1394.4
Employed City of Toronto Residents (000's),2017,May,1400.1
Employed City of Toronto Residents (000's),2017,Jun,1400.8
Employed City of Toronto Residents (000's),2017,Jul,1396.4
Employed City of Toronto Residents (000's),2017,Aug,1390.1
Employed City of Toronto Residents (000's),2017,Sep,1388.5
Employed City of Toronto Residents (000's),2017,Oct,1395.6
Employed City of Toronto Residents (000's),2017,Nov,1399.8
Employed City of Toronto Residents (000's),2017,Dec,1402.9
Employed City of Toronto Residents (000's),2018,Jan,1402.3
Employed City of Toronto Residents (000's),2018,Feb,1402.4
Employed City of Toronto Residents (000's),2018,Mar,1396.7
Employed City of Toronto Residents (000's),2018,Apr,1388.5
Employed City of Toronto Residents (000's),2018,May,1378.2
Employed City of Toronto Residents (000's),2018,Jun,1378.8
Employed City of Toronto Residents (000's),2018,Jul,1390.5
Employed City of Toronto Residents (000's),2018,Aug,1408
Employed City of Toronto Residents (000's),2018,Sep,1410.7
Employed City of Toronto Residents (000's),2018,Oct,1403.1
Employed City of Toronto Residents (000's),2018,Nov,1397.2
Employed City of Toronto Residents (000's),2018,Dec,1395.2
Employed City of Toronto Residents (000's),2019,Jan,1382.4
Employed City of Toronto Residents (000's),2019,Feb,1387.9
Employed City of Toronto Residents (000's),2019,Mar,1393.7
Employed City of Toronto Residents (000's),2019,Apr,1414.5
Employed City of Toronto Residents (000's),2019,May,1423.8
Employed City of Toronto Residents (000's),2019,Jun,1428.6
